,Date,Cluster,Population,White,Black,Asian/Pacific,Native American,Dependency Ratio,M/F Ratio,Own/Rent Ratio,HS Max %,College Educated %,Native Born %,Naturalized %,No Citizen %,Poverty Below 100,Poverty 100-149,Mean Income,Median Rent Price,Median Price Asked,Total Crimes,Violent Crimes,Theft Crimes,Population Q-Score,Poverty Q-Score,Income Q-Score,Home Q-Score,Crime Q-Score,Total Q-Score
1696,2012-05,Cluster 29,2715.0,1.0,2678.0,0.0,0.0,1.0756880733944953,0.592375366568915,0.4709748083242059,0.49288762446657186,0.5071123755334281,0.965377532228361,0.023204419889502764,0.01141804788213628,1159.0,269.0,58880.0,512.92,175134.0,12,4,8,-4.0,2.0,-2.0,-3.0,3.0,-1.0999999999999999
1697,2012-06,Cluster 29,2715.0,1.0,2678.0,0.0,0.0,1.0756880733944953,0.592375366568915,0.4709748083242059,0.49288762446657186,0.5071123755334281,0.965377532228361,0.023204419889502764,0.01141804788213628,1159.0,269.0,58880.0,512.92,176447.0,14,2,12,-4.0,2.0,-2.0,-3.0,4.0,-0.8999999999999998
1698,2012-07,Cluster 29,2715.0,1.0,2678.0,0.0,0.0,1.0756880733944953,0.592375366568915,0.4709748083242059,0.49288762446657186,0.5071123755334281,0.965377532228361,0.023204419889502764,0.01141804788213628,1159.0,269.0,58880.0,512.92,176548.0,18,1,17,-4.0,2.0,-2.0,-3.0,3.0,-1.0999999999999999
1699,2012-08,Cluster 29,2715.0,1.0,2678.0,0.0,0.0,1.0756880733944953,0.592375366568915,0.4709748083242059,0.49288762446657186,0.5071123755334281,0.965377532228361,0.023204419889502764,0.01141804788213628,1159.0,269.0,58880.0,512.92,175538.0,13,2,11,-4.0,2.0,-2.0,-4.0,3.0,-1.4
1700,2012-09,Cluster 29,2715.0,1.0,2678.0,0.0,0.0,1.0756880733944953,0.592375366568915,0.4709748083242059,0.49288762446657186,0.5071123755334281,0.965377532228361,0.023204419889502764,0.01141804788213628,1159.0,269.0,58880.0,512.92,174023.0,16,4,12,-4.0,2.0,-2.0,-4.0,3.0,-1.4
1701,2012-10,Cluster 29,2715.0,1.0,2678.0,0.0,0.0,1.0756880733944953,0.592375366568915,0.4709748083242059,0.49288762446657186,0.5071123755334281,0.965377532228361,0.023204419889502764,0.01141804788213628,1159.0,269.0,58880.0,512.92,173619.0,8,1,7,-4.0,2.0,-2.0,-4.0,4.0,-1.1999999999999997
1702,2012-11,Cluster 29,2715.0,1.0,2678.0,0.0,0.0,1.0756880733944953,0.592375366568915,0.4709748083242059,0.49288762446657186,0.5071123755334281,0.965377532228361,0.023204419889502764,0.01141804788213628,1159.0,269.0,58880.0,512.92,174225.0,11,1,10,-4.0,2.0,-2.0,-4.0,3.0,-1.4
1703,2012-12,Cluster 29,2715.0,1.0,2678.0,0.0,0.0,1.0756880733944953,0.592375366568915,0.4709748083242059,0.49288762446657186,0.5071123755334281,0.965377532228361,0.023204419889502764,0.01141804788213628,1159.0,269.0,58880.0,512.92,174730.0,14,2,12,-4.0,2.0,-2.0,-4.0,3.0,-1.4
1704,2013-01,Cluster 29,2521.0,2.0,2480.0,0.0,0.0,0.8813432835820896,0.5523399014778325,0.4966887417218543,0.5409429280397022,0.45905707196029777,0.9726299087663626,0.019040063466878223,0.008330027766759222,1082.0,260.0,52083.0,513.67,174629.0,13,2,11,-4.0,2.0,-2.0,-4.0,3.0,-1.4
1705,2013-02,Cluster 29,2521.0,2.0,2480.0,0.0,0.0,0.8813432835820896,0.5523399014778325,0.4966887417218543,0.5409429280397022,0.45905707196029777,0.9726299087663626,0.019040063466878223,0.008330027766759222,1082.0,260.0,52083.0,513.67,175942.0,4,0,4,-4.0,2.0,-2.0,-4.0,4.0,-1.1999999999999997
1706,2013-03,Cluster 29,2521.0,2.0,2480.0,0.0,0.0,0.8813432835820896,0.5523399014778325,0.4966887417218543,0.5409429280397022,0.45905707196029777,0.9726299087663626,0.019040063466878223,0.008330027766759222,1082.0,260.0,52083.0,513.67,177760.0,6,0,6,-4.0,2.0,-2.0,-4.0,3.0,-1.4
1707,2013-04,Cluster 29,2521.0,2.0,2480.0,0.0,0.0,0.8813432835820896,0.5523399014778325,0.4966887417218543,0.5409429280397022,0.45905707196029777,0.9726299087663626,0.019040063466878223,0.008330027766759222,1082.0,260.0,52083.0,513.67,179174.0,5,1,4,-4.0,2.0,-2.0,-4.0,4.0,-1.1999999999999997
1708,2013-05,Cluster 29,2521.0,2.0,2480.0,0.0,0.0,0.8813432835820896,0.5523399014778325,0.4966887417218543,0.5409429280397022,0.45905707196029777,0.9726299087663626,0.019040063466878223,0.008330027766759222,1082.0,260.0,52083.0,513.67,181497.0,9,0,9,-4.0,2.0,-2.0,-4.0,4.0,-1.1999999999999997
1709,2013-06,Cluster 29,2521.0,2.0,2480.0,0.0,0.0,0.8813432835820896,0.5523399014778325,0.4966887417218543,0.5409429280397022,0.45905707196029777,0.9726299087663626,0.019040063466878223,0.008330027766759222,1082.0,260.0,52083.0,513.67,186042.0,13,4,9,-4.0,2.0,-2.0,-4.0,3.0,-1.4
1710,2013-07,Cluster 29,2521.0,2.0,2480.0,0.0,0.0,0.8813432835820896,0.5523399014778325,0.4966887417218543,0.5409429280397022,0.45905707196029777,0.9726299087663626,0.019040063466878223,0.008330027766759222,1082.0,260.0,52083.0,513.67,190688.0,5,1,4,-4.0,2.0,-2.0,-4.0,4.0,-1.1999999999999997
1711,2013-08,Cluster 29,2521.0,2.0,2480.0,0.0,0.0,0.8813432835820896,0.5523399014778325,0.4966887417218543,0.5409429280397022,0.45905707196029777,0.9726299087663626,0.019040063466878223,0.008330027766759222,1082.0,260.0,52083.0,513.67,195031.0,11,3,8,-4.0,2.0,-2.0,-4.0,3.0,-1.4
1712,2013-09,Cluster 29,2521.0,2.0,2480.0,0.0,0.0,0.8813432835820896,0.5523399014778325,0.4966887417218543,0.5409429280397022,0.45905707196029777,0.9726299087663626,0.019040063466878223,0.008330027766759222,1082.0,260.0,52083.0,513.67,197859.0,14,1,13,-4.0,2.0,-2.0,-3.0,3.0,-1.0999999999999999
1713,2013-10,Cluster 29,2521.0,2.0,2480.0,0.0,0.0,0.8813432835820896,0.5523399014778325,0.4966887417218543,0.5409429280397022,0.45905707196029777,0.9726299087663626,0.019040063466878223,0.008330027766759222,1082.0,260.0,52083.0,513.67,198869.0,18,4,14,-4.0,2.0,-2.0,-3.0,3.0,-1.0999999999999999
1714,2013-11,Cluster 29,2521.0,2.0,2480.0,0.0,0.0,0.8813432835820896,0.5523399014778325,0.4966887417218543,0.5409429280397022,0.45905707196029777,0.9726299087663626,0.019040063466878223,0.008330027766759222,1082.0,260.0,52083.0,513.67,198869.0,6,1,5,-4.0,2.0,-2.0,-3.0,4.0,-0.8999999999999998
