period,cluster,MedianPriceAsked
2012-07,Cluster 20,250847.46
2012-08,Cluster 20,250847.46
2012-09,Cluster 20,250847.46
2012-10,Cluster 20,250847.46
2012-11,Cluster 20,250847.46
2012-12,Cluster 20,250847.46
2013-01,Cluster 20,300000
2013-02,Cluster 20,300000
2013-03,Cluster 20,300000
2013-04,Cluster 20,300000
2013-05,Cluster 20,300000
2013-06,Cluster 20,300000
2013-07,Cluster 20,300000
2013-08,Cluster 20,300000
2013-09,Cluster 20,300000
2013-10,Cluster 20,300000
2013-11,Cluster 20,300000
2013-12,Cluster 20,300000
2014-01,Cluster 20,300000
2014-02,Cluster 20,300000
2014-03,Cluster 20,300000
2014-04,Cluster 20,300000
2014-05,Cluster 20,300000
2014-06,Cluster 20,300000
2014-07,Cluster 20,300000
2014-08,Cluster 20,300000
2014-09,Cluster 20,300000
2014-10,Cluster 20,300000
2014-11,Cluster 20,300000
2014-12,Cluster 20,300000
2015-01,Cluster 20,252435.06
2015-02,Cluster 20,252435.06
2015-03,Cluster 20,252435.06
2015-04,Cluster 20,252435.06
2015-05,Cluster 20,252435.06
2015-06,Cluster 20,252435.06
2015-07,Cluster 20,252435.06
2015-08,Cluster 20,252435.06
2015-09,Cluster 20,252435.06
2015-10,Cluster 20,252435.06
2015-11,Cluster 20,252435.06
2015-12,Cluster 20,252435.06
2011-01,Cluster 21,308697.48
2011-02,Cluster 21,308697.48
2011-03,Cluster 21,308697.48
2011-04,Cluster 21,308697.48
2011-05,Cluster 21,308697.48
2011-06,Cluster 21,308697.48
2011-07,Cluster 21,308697.48
2011-08,Cluster 21,308697.48
2011-09,Cluster 21,308697.48
2011-10,Cluster 21,308697.48
2011-11,Cluster 21,308697.48
2011-12,Cluster 21,308697.48
2012-01,Cluster 21,300000
2012-02,Cluster 21,300000
2012-03,Cluster 21,300000
2012-04,Cluster 21,300000
2012-05,Cluster 21,300000
2012-06,Cluster 21,300000
2012-07,Cluster 21,300000
2012-08,Cluster 21,300000
2012-09,Cluster 21,300000
2012-10,Cluster 21,300000
2012-11,Cluster 21,300000
2012-12,Cluster 21,300000
2013-01,Cluster 21,300000
2013-02,Cluster 21,300000
2013-03,Cluster 21,300000
2013-04,Cluster 21,300000
2013-05,Cluster 21,300000
2013-06,Cluster 21,300000
2013-07,Cluster 21,300000
2013-08,Cluster 21,300000
2013-09,Cluster 21,300000
2013-10,Cluster 21,300000
2013-11,Cluster 21,300000
2013-12,Cluster 21,300000
2014-01,Cluster 21,275824.18
2014-02,Cluster 21,275824.18
2014-03,Cluster 21,275824.18
2014-04,Cluster 21,275824.18
2014-05,Cluster 21,275824.18
2014-06,Cluster 21,275824.18
2014-07,Cluster 21,275824.18
2014-08,Cluster 21,275824.18
2014-09,Cluster 21,275824.18
2014-10,Cluster 21,275824.18
2014-11,Cluster 21,275824.18
2014-12,Cluster 21,275824.18
2015-01,Cluster 21,285567.01
2015-02,Cluster 21,285567.01
2015-03,Cluster 21,285567.01
2015-04,Cluster 21,285567.01
2015-05,Cluster 21,285567.01
2015-06,Cluster 21,285567.01
2015-07,Cluster 21,285567.01
2015-08,Cluster 21,285567.01
2015-09,Cluster 21,285567.01
2015-10,Cluster 21,285567.01
2015-11,Cluster 21,285567.01
2015-12,Cluster 21,285567.01
2011-01,Cluster 22,337500
2011-02,Cluster 22,337500
2011-03,Cluster 22,337500
2011-04,Cluster 22,337500
2011-05,Cluster 22,337500
2011-06,Cluster 22,337500
2011-07,Cluster 22,337500
2011-08,Cluster 22,337500
2011-09,Cluster 22,337500
2011-10,Cluster 22,337500
2011-11,Cluster 22,337500
2011-12,Cluster 22,337500
2012-01,Cluster 22,175000
2012-02,Cluster 22,175000
2012-03,Cluster 22,175000
2012-04,Cluster 22,175000
2012-05,Cluster 22,175000
2012-06,Cluster 22,175000
2012-07,Cluster 22,175000
2012-08,Cluster 22,175000
2012-09,Cluster 22,175000
2012-10,Cluster 22,175000
2012-11,Cluster 22,175000
2012-12,Cluster 22,175000
2013-01,Cluster 22,175000
2013-02,Cluster 22,175000
2013-03,Cluster 22,175000
2013-04,Cluster 22,175000
2013-05,Cluster 22,175000
2013-06,Cluster 22,175000
2013-07,Cluster 22,175000
2013-08,Cluster 22,175000
2013-09,Cluster 22,175000
2013-10,Cluster 22,175000
2013-11,Cluster 22,175000
2013-12,Cluster 22,175000
2014-01,Cluster 22,271428.57
2014-02,Cluster 22,271428.57
2014-03,Cluster 22,271428.57
2014-04,Cluster 22,271428.57
2014-05,Cluster 22,271428.57
2014-06,Cluster 22,271428.57
2014-07,Cluster 22,271428.57
2014-08,Cluster 22,271428.57
